names,scores,logfoldchanges,group
Cotl1,0.017150732,3.4527788,ACMB
Tst,0.016773354,3.7510679,ACMB
Id3,0.016404988,5.192735,ACMB
Gpt2,0.016322128,2.84445,ACMB
Adcy8,0.016211277,3.441413,ACMB
Hopx,0.01618329,4.146294,ACMB
Il33,0.016012095,4.2885723,ACMB
Lrrc8a,0.0154121015,3.0086608,ACMB
Oat,0.01531704,2.9479373,ACMB
Ccdc74a,0.014936324,3.1456122,ACMB
Glud1,0.014911354,3.4716315,ACMB
Ccdc190,0.014872597,3.992406,ACMB
Entpd2,0.014558787,3.9530115,ACMB
Lfng,0.014175196,3.5571778,ACMB
Acox1,0.014115874,2.8171992,ACMB
Acsbg1,0.26041916,5.8714013,ACTE1
Hopx,0.2454185,5.3854437,ACTE1
Mlc1,0.23488802,6.1016583,ACTE1
Ntsr2,0.2272293,6.3293204,ACTE1
Fam107a,0.21278541,5.631421,ACTE1
Ndrg2,0.21156275,5.837984,ACTE1
Fbxo2,0.20201723,5.020796,ACTE1
Sfxn5,0.20102374,4.3778286,ACTE1
Pla2g7,0.19256338,5.4849505,ACTE1
Gfap,0.18931645,6.4367213,ACTE1
Clu,0.18368994,6.415406,ACTE1
Aldoc,0.18145457,6.9152937,ACTE1
Aqp4,0.17875148,5.991186,ACTE1
Gldc,0.17619999,4.988644,ACTE1
X2900052N01Rik,0.1703881,4.9867854,ACTE1
Sdc4,0.16721858,4.6855693,ACTE1
Lcat,0.16672707,5.055991,ACTE1
Gstm1,0.16536428,4.928221,ACTE1
Hsd11b1,0.16358386,4.6789446,ACTE1
Lgi4,0.15640569,4.8977127,ACTE1
Slc4a4,0.15497185,4.884095,ACTE1
Dio2,0.15375793,4.8382177,ACTE1
Ncan,0.15231001,4.193986,ACTE1
Plxnb1,0.1474035,3.8595343,ACTE1
Aldh1l1,0.1457878,4.5880523,ACTE1
Scg3,0.14553429,4.5891614,ACTE1
Fgfr3,0.14395192,5.161684,ACTE1
Plpp3,0.14270794,5.504663,ACTE1
Htra1,0.14153011,5.2292957,ACTE1
Slc1a2,0.1407228,6.588788,ACTE1
Acot11,0.1392505,4.2780595,ACTE1
Ppp1r3c,0.13855049,4.3879313,ACTE1
Slc14a1,0.13691425,4.8634872,ACTE1
Cbs,0.13626558,4.6547103,ACTE1
Gja1,0.13159643,5.474713,ACTE1
Pygb,0.13105923,4.0108414,ACTE1
Mt2,0.13086174,5.696673,ACTE1
Glud1,0.12938905,3.9570544,ACTE1
Tmem47,0.124303326,4.1422048,ACTE1
Bcan,0.124173895,5.2673264,ACTE1
Slc1a3,0.123560265,5.4298615,ACTE1
Cldn10,0.122746676,5.1484756,ACTE1
Tst,0.120392494,4.054179,ACTE1
Grin2c,0.119810104,4.700286,ACTE1
Acsl6,0.11960884,3.9543893,ACTE1
Slc7a2,0.11898187,4.2359653,ACTE1
Gpr37l1,0.114693865,5.2444153,ACTE1
Fads1,0.11398844,3.6002383,ACTE1
Cyp2d22,0.111575864,3.9407203,ACTE1
Lhx2,0.11149436,3.9019156,ACTE1
Prodh,0.1085065,4.345215,ACTE1
Prdx6,0.107023984,4.5477734,ACTE1
Enho,0.10694009,4.0850973,ACTE1
Id4,0.106660105,4.0393887,ACTE1
Mmd2,0.10596554,4.295879,ACTE1
Nwd1,0.10480934,4.5199027,ACTE1
Slc25a18,0.10202007,4.594927,ACTE1
Atp1a2,0.09875443,6.116063,ACTE1
Abhd3,0.097613215,3.5963252,ACTE1
Psd2,0.09587979,3.5376298,ACTE1
Gpc5,0.09525401,4.1120944,ACTE1
Timp4,0.095238574,4.1951585,ACTE1
Lrp4,0.09265254,3.552823,ACTE1
Arhgef26,0.09020765,3.9743683,ACTE1
Fabp7,0.09011051,4.7270465,ACTE1
Dbx2,0.08988389,4.2550106,ACTE1
Tprkb,0.08953495,3.013897,ACTE1
Ptprz1,0.08933247,4.4051476,ACTE1
Acss1,0.08891946,3.833153,ACTE1
Sox9,0.087677434,4.2701626,ACTE1
Naaa,0.08696032,3.6117997,ACTE1
Cspg5,0.086161815,4.580784,ACTE1
Pantr1,0.08536893,4.1296186,ACTE1
Mfge8,0.0841154,4.596196,ACTE1
Slc6a11,0.08401867,4.0385633,ACTE1
S100a1,0.08359104,3.9069548,ACTE1
Pbxip1,0.08327316,3.8709524,ACTE1
Rlbp1,0.08249163,4.484528,ACTE1
Adhfe1,0.08163881,4.1281605,ACTE1
Phka1,0.081086226,3.3051932,ACTE1
Atp1b2,0.08010433,4.174848,ACTE1
Apoe,0.0799962,6.7341537,ACTE1
Cyp2j9,0.07920422,4.0355153,ACTE1
Ephx2,0.078868434,3.9230425,ACTE1
Mt1,0.07837932,5.7110434,ACTE1
Ttyh1,0.07708837,3.9874744,ACTE1
Sparcl1,0.07688032,4.951299,ACTE1
X1700019G17Rik,0.07674758,3.758025,ACTE1
Fxyd1,0.07589191,4.348614,ACTE1
Scara3,0.07575823,4.215931,ACTE1
Appl2,0.075733215,3.2960505,ACTE1
Mfap3l,0.074527755,3.0201275,ACTE1
Tril,0.07434359,4.0779934,ACTE1
Mtss1l,0.07339677,3.2175052,ACTE1
Btbd17,0.073129855,4.250853,ACTE1
E130114P18Rik,0.072193295,3.9978137,ACTE1
Gm3764,0.071275234,3.942595,ACTE1
Retsat,0.0706904,3.3633733,ACTE1
Ccdc190,0.0699339,4.1149807,ACTE1
Lxn,0.06970998,3.686875,ACTE1
Nkain4,0.06932805,3.4856815,ACTE1
Slc9a3r1,0.06907749,3.6461453,ACTE1
Prex2,0.06900414,3.4700313,ACTE1
Gm20383,0.06895465,4.4123816,ACTE1
Phkg1,0.06714293,3.9904077,ACTE1
Gm10561,0.06713035,3.8719578,ACTE1
Naprt,0.06705426,3.76598,ACTE1
Ezr,0.06699256,3.9265425,ACTE1
Tnc,0.06660237,4.237574,ACTE1
S1pr1,0.06440147,4.055124,ACTE1
Lppos,0.06437537,3.4105577,ACTE1
Asrgl1,0.064369015,3.1134114,ACTE1
Bmpr1b,0.06387996,4.108006,ACTE1
Gli3,0.063827835,3.9571736,ACTE1
Ddah1,0.06297815,3.271795,ACTE1
Lix1,0.06246303,3.1342685,ACTE1
Adcy2,0.062247466,3.029665,ACTE1
Pxmp2,0.06219326,3.3513513,ACTE1
Cpe,0.061207075,4.343864,ACTE1
Rftn2,0.061101235,3.0194194,ACTE1
Igdcc4,0.060415253,3.3148863,ACTE1
AI464131,0.060125478,3.8406003,ACTE1
Fam213a,0.06001951,2.747239,ACTE1
Wnt7a,0.05997613,3.493982,ACTE1
Hes5,0.059587687,4.1974926,ACTE1
A330048O09Rik,0.058743294,4.272669,ACTE1
Rgcc,0.056922626,4.0645237,ACTE1
Mt3,0.05673316,4.851082,ACTE1
Add3,0.056317665,2.561897,ACTE1
X2810459M11Rik,0.056259878,3.836073,ACTE1
Slc27a1,0.055390373,3.1806595,ACTE1
Sash1,0.055184856,2.7155142,ACTE1
Farp1,0.055029627,2.8306515,ACTE1
Plcd4,0.05366018,3.728706,ACTE1
Oat,0.053613123,2.5800686,ACTE1
Gna13,0.053400308,2.564926,ACTE1
Fam181b,0.053005673,3.4439213,ACTE1
Gstm5,0.052929804,3.0756857,ACTE1
Chst2,0.052665032,2.6904683,ACTE1
Msi1,0.052389987,3.02006,ACTE1
X2310022B05Rik,0.05226959,2.921947,ACTE1
Adcyap1r1,0.0521816,2.9374218,ACTE1
Phgdh,0.05213585,2.9241514,ACTE1
Igfbp5,0.051970996,3.3156812,ACTE1
Ednrb,0.051720124,3.714679,ACTE1
Mgll,0.050801575,2.8993382,ACTE1
Gm266,0.050574005,4.021664,ACTE1
Ppp1r3g,0.04962126,4.207667,ACTE1
Dtna,0.049547657,2.5799758,ACTE1
Col16a1,0.04940559,3.391595,ACTE1
Slc7a10,0.46451977,6.316363,ACTE2
Fjx1,0.4339809,5.828079,ACTE2
F3,0.42310372,5.995241,ACTE2
Cldn10,0.411216,6.4705563,ACTE2
Btbd17,0.4088746,5.910896,ACTE2
S1pr1,0.4084034,5.8430333,ACTE2
Tlcd1,0.39419678,5.7036724,ACTE2
Htra1,0.38610643,6.261904,ACTE2
Mfge8,0.3680121,6.2916913,ACTE2
Ppp1r3g,0.36684203,6.185402,ACTE2
Hes5,0.36383846,5.985248,ACTE2
Tril,0.35869426,5.5198607,ACTE2
Slc1a3,0.35312167,6.646342,ACTE2
Gpr37l1,0.351389,6.499254,ACTE2
AI464131,0.34696984,5.2756815,ACTE2
Fgfr3,0.3406922,5.9574084,ACTE2
Phkg1,0.32446495,5.3165183,ACTE2
Gja1,0.3159466,6.349042,ACTE2
Gm3764,0.31329784,5.4441013,ACTE2
Plpp3,0.30702737,6.2095404,ACTE2
Adora2b,0.2923593,5.283382,ACTE2
Cyp4f15,0.28131324,5.913282,ACTE2
Slc6a11,0.27815124,5.016882,ACTE2
Fam107a,0.2719456,5.628979,ACTE2
Grin2c,0.26330507,5.325361,ACTE2
Nrarp,0.26300177,4.856455,ACTE2
Dbx2,0.26174995,5.076378,ACTE2
Eva1a,0.26027894,4.879863,ACTE2
Gm11627,0.25161442,5.3188214,ACTE2
Fzd2,0.24911636,5.183847,ACTE2
Aldoc,0.24075319,6.7253995,ACTE2
Slc13a5,0.2390392,5.1169624,ACTE2
Gjb6,0.23783319,5.3598795,ACTE2
Fam227b,0.2333211,5.2616754,ACTE2
Ptprz1,0.23109767,5.182461,ACTE2
Prss56,0.22979414,6.0001736,ACTE2
Bcan,0.22785026,5.669901,ACTE2
Fam181b,0.2262877,4.473853,ACTE2
Slc9a3r1,0.22017044,4.439267,ACTE2
Atp1b2,0.21842124,5.0993257,ACTE2
Mt2,0.2166817,5.9395084,ACTE2
Slc39a12,0.2161364,4.9680185,ACTE2
Elovl2,0.21098225,4.6053042,ACTE2
Ntsr2,0.21080872,5.7447634,ACTE2
Slc27a1,0.2084173,3.9963171,ACTE2
Acsbg1,0.20663889,5.267669,ACTE2
Pdzph1,0.20294552,5.6173983,ACTE2
Oaf,0.19774842,4.4448338,ACTE2
Slc4a4,0.19634646,4.7922244,ACTE2
Scara3,0.1885337,4.866979,ACTE2
Prodh,0.18819833,4.650915,ACTE2
Slc15a2,0.18703121,4.7078996,ACTE2
Nim1k,0.18436806,3.588478,ACTE2
Atp1a2,0.18264015,6.615036,ACTE2
Luzp2,0.18177195,4.1014085,ACTE2
Cspg5,0.18049556,5.168823,ACTE2
Pla2g7,0.17971414,5.027875,ACTE2
Clu,0.17864999,5.650751,ACTE2
Slc1a4,0.17570889,3.704722,ACTE2
Mertk,0.1751922,4.2751436,ACTE2
Gli3,0.17070878,4.609105,ACTE2
Gm266,0.16414516,4.882264,ACTE2
Atp13a4,0.1608071,4.7939487,ACTE2
Fam20a,0.16058564,4.3152976,ACTE2
Lfng,0.15838538,4.0201387,ACTE2
Scg3,0.15805061,4.220755,ACTE2
C030037D09Rik,0.1579819,3.9325306,ACTE2
Enho,0.15730423,4.1213574,ACTE2
Slc1a2,0.15350364,5.9064384,ACTE2
Vcam1,0.15118413,4.4301863,ACTE2
Dio2,0.15028173,4.673881,ACTE2
Prdx6,0.14959577,4.475164,ACTE2
Sox9,0.14389646,4.470318,ACTE2
Gpc5,0.14123593,4.258453,ACTE2
Lppos,0.14111915,3.7906153,ACTE2
Rfx4,0.14087155,4.5390806,ACTE2
Tlr3,0.13740337,4.0599604,ACTE2
Abhd3,0.1356912,3.6072807,ACTE2
X2900052N01Rik,0.13440916,4.6181912,ACTE2
Celrr,0.13415109,4.8168554,ACTE2
Igfbp2,0.13274594,4.982453,ACTE2
Cxcl14,0.13274518,5.028815,ACTE2
Entpd2,0.13232556,4.459809,ACTE2
Acsl6,0.13209951,3.711861,ACTE2
Nr2e1,0.13121822,4.323119,ACTE2
Cbr3,0.1310133,3.925664,ACTE2
Kcnk1,0.13022494,3.469015,ACTE2
Il18,0.12829491,3.3004467,ACTE2
Ndp,0.1280762,3.7231195,ACTE2
Klf15,0.12772287,3.3729181,ACTE2
Timp4,0.12062341,4.1353498,ACTE2
